subject_id,year_in_study,record_date,activity_level,activity,activity_other,frequency,pace,grade,surface_asphalt,surface_concrete,surface_dirt,surface_grass,surface_rocky,surface_sand,surface_varied,surface_other,surface_other_specify,total_time,total_time_units
grls04KX35EE,7,2019-12,Moderate,"On leash (obedience training, walking or running)",,Daily,Average walk,Flat,0,0,0,1,0,0,0,0,,1.0,Month
grls04O1IQ00,3,2017-10,Moderate,"On leash (obedience training, walking or running)",,Weekly,Brisk walk,Moderate,0,1,0,1,0,0,0,0,,3.0,Year
grls04O1IQ00,3,2017-10,Moderate,Fetch outside - ground retrieval,,Weekly,Run,Moderate,0,0,0,1,0,0,0,0,,3.0,Year
grls04O1IQ00,4,2018-10,Moderate,Active indoor play,,More than daily,Average walk,Flat,0,0,0,0,0,0,0,1,carpet and wood floor,4.0,Year
grls04O1IQ00,4,2018-10,Moderate,Fetch outside - ground retrieval,,Weekly,Run,Flat,0,0,0,1,0,0,0,0,,4.0,Year
grls04O1IQ00,4,2018-10,Moderate,"Off leash (obedience training, walking or running)",,Daily,Slow walk,Flat,0,0,0,1,0,0,0,1,carpet and wood floor,4.0,Year
grls04O1IQ00,4,2018-10,Moderate,"On leash (obedience training, walking or running)",,Weekly,Average walk,Moderate,0,1,0,1,0,0,0,0,,4.0,Year
grls04O1IQ00,5,2019-10,Little,Active indoor play,,Daily,Slow walk,Flat,0,0,0,0,0,0,1,0,,12.0,Month
grls04O1IQ00,5,2019-10,Little,"Off leash (obedience training, walking or running)",,Weekly,Brisk walk,Moderate,0,0,1,0,0,0,0,0,,4.0,Month
grls04O1IQ00,6,2020-12,Moderate,Active indoor play,,More than daily,Brisk walk,Flat,0,0,0,0,0,0,0,1,wood floor,6,Year
grls04O1IQ00,6,2020-12,Moderate,Agility training/drills,,Weekly,Brisk walk,Flat,1,0,1,1,0,0,0,0,,3,Year
grls04O1IQ00,6,2020-12,Moderate,"Off leash (obedience training, walking or running)",,Weekly,Brisk walk,Moderate,0,0,1,0,0,0,0,0,,3,Year
grls04O1IQ00,6,2020-12,Moderate,Fetch outside - ground retrieval,,Monthly,Run,Flat,0,0,0,1,0,0,0,0,,5,Year
grls04O1IQ00,7,2021-10,Moderate,Other,active outdoor play,More than daily,Slow walk,Flat,0,0,0,1,0,0,0,0,,7,Year
grls04O1IQ00,7,2021-10,Moderate,"Off leash (obedience training, walking or running)",,Weekly,Average walk,Moderate,0,0,1,0,0,0,0,0,,6,Year
grls04O1IQ00,8,2022-10,Little,Agility training/drills,,Weekly,Average walk,Flat,0,0,0,1,0,0,0,0,,4,Year
grls05BPCYNN,3,2016-09,Moderate,Fetch outside - ground retrieval,,Daily,Run,Moderate,0,0,0,1,0,0,0,0,,12.0,Month
grls05BPCYNN,3,2016-09,Moderate,"Off leash (obedience training, walking or running)",,Daily,Average walk,Flat,0,0,0,1,0,0,0,0,,10.0,Month
grls05BPCYNN,3,2016-09,Moderate,Other,swimming - unspecified,Daily,Brisk walk,Flat,0,0,0,0,0,0,0,1,pool or pond,12.0,Month
grls05BPCYNN,4,2017-09,Moderate,Fetch outside - ground retrieval,,More than daily,Run,Moderate,0,0,0,1,0,0,0,0,,12.0,Month
grls05BPCYNN,4,2017-09,Moderate,"Off leash (obedience training, walking or running)",,Weekly,Average walk,Flat,0,0,0,0,0,0,1,0,,12.0,Month
grls05BPCYNN,4,2017-09,Moderate,"On leash (obedience training, walking or running)",,Weekly,Brisk walk,Flat,0,0,0,0,0,0,1,0,,12.0,Month
grls05BPCYNN,4,2017-09,Moderate,Other,swimming - unspecified,Daily,Brisk walk,Flat,0,0,0,0,0,0,0,1,water,12.0,Month
grls05BPCYNN,5,2018-09,Moderate,Active indoor play,,Daily,Average walk,Flat,0,0,0,0,0,0,1,0,,12.0,Year
grls05BPCYNN,5,2018-09,Moderate,Fetch outside - ground retrieval,,Daily,Jog,Moderate,0,0,0,1,0,0,0,0,,12.0,Month
grls05BPCYNN,5,2018-09,Moderate,"Off leash (obedience training, walking or running)",,Daily,Average walk,Flat,0,0,0,0,0,0,1,0,,12.0,Month
grls05BPCYNN,5,2018-09,Moderate,"On leash (obedience training, walking or running)",,Daily,Average walk,Flat,0,0,0,0,0,0,1,0,,12.0,Month
grls05BPCYNN,6,2019-11,Little,Fetch outside - ground retrieval,,Daily,Jog,Moderate,0,0,0,1,0,0,0,0,,7.0,Year
grls05BPCYNN,6,2019-11,Little,"Off leash (obedience training, walking or running)",,Daily,Brisk walk,Flat,0,0,0,0,0,0,1,0,,7.0,Year
grls05BPCYNN,6,2019-11,Little,"On leash (obedience training, walking or running)",,Daily,Average walk,Flat,0,0,0,0,0,0,1,0,,7.0,Year
grls05BPCYNN,7,2020-10,Moderate,Fetch outside - ground retrieval,,Daily,Brisk walk,Moderate,0,0,0,1,0,0,0,0,,8,Year
grls05BPCYNN,7,2020-10,Moderate,"On leash (obedience training, walking or running)",,Daily,Average walk,Flat,1,0,0,1,0,0,0,0,,8,Year
grls05BPCYNN,8,2021-09,Moderate,"Off leash (obedience training, walking or running)",,Daily,Average walk,Flat,0,1,1,1,0,0,0,0,,9,Year
grls05BPCYNN,8,2021-09,Moderate,Fetch outside - ground retrieval,,Daily,Jog,Moderate,0,0,1,1,0,0,0,0,,9,Year
grls05BPCYNN,8,2021-09,Moderate,Other,scent work training/drills,Weekly,Average walk,Flat,0,0,1,0,0,0,1,0,,9,Year
grls06YF0BSS,3,2016-05,Moderate,"Off leash (obedience training, walking or running)",,Weekly,Brisk walk,Flat,0,0,1,0,0,0,0,0,,3.0,Year
grls06YF0BSS,4,2017-06,Moderate,"On leash (obedience training, walking or running)",,More than daily,Average walk,Flat,0,1,0,1,0,0,0,0,,12.0,Month
grls06YF0BSS,5,2018-04,Moderate,"On leash (obedience training, walking or running)",,More than daily,Brisk walk,Flat,1,1,1,1,0,0,0,0,,5.0,Year
grls06YF0BSS,6,2019-04,Moderate,Active indoor play,,Daily,Average walk,Flat,0,1,0,0,0,0,0,0,,12.0,Month
grls06YF0BSS,7,2020-05,Moderate,"On leash (obedience training, walking or running)",,More than daily,Slow walk,Flat,1,0,0,0,0,0,0,0,,8.0,Month
grls06YF0BSS,8,2021-04,Moderate,"Off leash (obedience training, walking or running)",,Weekly,Run,Moderate,0,0,1,1,0,0,1,0,,8,Year
grls06YF0BSS,8,2021-04,Moderate,"On leash (obedience training, walking or running)",,More than daily,Brisk walk,Flat,0,1,0,0,0,0,0,0,,8,Year
grls0762M2FF,3,2017-05,Moderate,"Off leash (obedience training, walking or running)",,Daily,Brisk walk,Moderate,0,0,1,1,0,0,1,0,,4.0,Year
grls0762M2FF,3,2017-05,Moderate,Active indoor play,,More than daily,Brisk walk,Flat,0,0,0,0,0,0,0,1,indoor floors/rugs,4.0,Year
grls0762M2FF,4,2018-05,Moderate,Active indoor play,,More than daily,Brisk walk,Flat,0,0,0,0,0,0,0,1,indoors,5.0,Year
grls0762M2FF,4,2018-05,Moderate,Agility training/drills,,Weekly,Run,Flat,0,0,0,0,0,0,0,1,indoors,2.0,Year
grls0762M2FF,4,2018-05,Moderate,"Off leash (obedience training, walking or running)",,Daily,Jog,Moderate,0,0,1,1,0,0,1,0,,5.0,Year
grls0762M2FF,5,2019-06,Moderate,Active indoor play,,Daily,Brisk walk,Flat,0,0,0,0,0,0,0,1,indoors,6.0,Year
grls0762M2FF,5,2019-06,Moderate,Agility training/drills,,Weekly,Run,Flat,0,0,0,0,0,0,0,1,indoors,3.0,Year
grls0762M2FF,5,2019-06,Moderate,"Off leash (obedience training, walking or running)",,Daily,Brisk walk,Moderate,0,0,0,1,0,0,0,0,,6.0,Year
grls0762M2FF,7,2021-05,Moderate,"Off leash (obedience training, walking or running)",,Daily,Brisk walk,Moderate,0,0,1,1,0,0,0,0,,7,Year
grls0762M2FF,8,2022-05,Moderate,Active indoor play,,More than daily,Average walk,Flat,0,0,0,0,0,0,0,1,carpets,8,Year
grls0762M2FF,8,2022-05,Moderate,"Off leash (obedience training, walking or running)",,Daily,Brisk walk,Moderate,0,0,1,1,0,0,1,0,,8,Year
grls08SO0S44,3,2018-01,Very active,Fetch outside - ground retrieval,,More than daily,Run,Flat,0,0,0,1,0,0,0,0,,3.0,Year
grls08SO0S44,3,2018-01,Very active,Agility training/drills,,Weekly,Run,Flat,0,0,0,0,0,0,0,1,turf,3.0,Year
grls08SO0S44,3,2018-01,Very active,"On leash (obedience training, walking or running)",,Daily,Average walk,Moderate,0,0,0,0,0,0,1,0,,3.0,Year
grls08SO0S44,4,2019-01,Very active,Fetch outside - ground retrieval,,More than daily,Run,Moderate,0,0,0,1,0,0,0,0,,3.0,Year
grls08SO0S44,5,2020-01,Moderate,Fetch outside - ground retrieval,,Daily,Jog,Flat,0,0,0,1,0,0,0,0,,5.0,Year
grls08SO0S44,6,2021-01,Moderate,Fetch outside - ground retrieval,,Daily,Run,Flat,0,0,0,1,0,0,0,0,,6,Year
grls08SO0S44,6,2021-01,Moderate,"On leash (obedience training, walking or running)",,More than daily,Average walk,Moderate,0,0,0,0,0,0,1,0,,6,Year
grls08SO0S44,7,2022-01,Moderate,Fetch outside - ground retrieval,,More than daily,Run,Flat,0,0,0,1,0,0,0,0,,7,Year
grls08SO0S44,7,2022-01,Moderate,Fetch outside - ground retrieval,,Daily,Run,Moderate,0,0,1,1,0,0,1,0,,7,Year
grls08SO0S44,7,2022-01,Moderate,"On leash (obedience training, walking or running)",,Daily,Average walk,Moderate,0,0,0,0,0,0,1,0,,7,Year
grls08SO0S44,8,2023-01,Moderate,Fetch outside - ground retrieval,,More than daily,Jog,Flat,0,0,0,1,0,0,0,0,,8,Year
grls08SO0S44,8,2023-01,Moderate,"On leash (obedience training, walking or running)",,More than daily,Average walk,Flat,0,0,0,1,0,0,1,0,,8,Year
grls09FYB3II,3,2017-10,Very active,Fetch outside - ground retrieval,,More than daily,Run,Flat,0,0,0,1,0,0,0,0,,4.0,Year
grls09FYB3II,4,2018-10,Very active,Fetch outside - ground retrieval,,Daily,Brisk walk,Moderate,0,0,0,1,0,0,0,0,,5.0,Year
grls09FYB3II,5,2019-10,Very active,Fetch outside - ground retrieval,,Daily,Run,Moderate,0,0,0,1,0,0,0,0,,3.0,Month
grls09FYB3II,6,2020-10,Very active,Fetch outside - ground retrieval,,Daily,Run,Flat,0,0,0,1,0,0,0,0,,7,Year
grls09FYB3II,7,2021-10,Moderate,"Off leash (obedience training, walking or running)",,Daily,Average walk,Moderate,0,0,0,1,0,0,0,0,,8,Year
grls09FYB3II,8,2022-09,Moderate,"Off leash (obedience training, walking or running)",,Daily,Brisk walk,Moderate,0,0,0,1,0,0,0,0,,9,Year
grls09ZIN1OO,3,2017-12,Very active,Active indoor play,,Daily,Run,Flat,0,0,0,0,0,0,0,1,wood floor carpet,3.0,Year
grls09ZIN1OO,3,2017-12,Very active,Agility training/drills,,Daily,Run,Flat,0,0,0,1,0,0,0,0,,3.0,Year
grls09ZIN1OO,3,2017-12,Very active,Fetch outside - ground retrieval,,More than daily,Run,Flat,0,0,0,1,0,0,0,0,,3.0,Year
grls09ZIN1OO,3,2017-12,Very active,"On leash (obedience training, walking or running)",,More than daily,Brisk walk,Moderate,1,1,0,0,0,0,0,0,,3.0,Year
grls09ZIN1OO,4,2018-12,Very active,Other,"active indoor play, active outdoor play",More than daily,Run,Flat,0,0,0,1,0,0,0,0,,4.0,Year
grls09ZIN1OO,5,2019-12,Very active,"On leash (obedience training, walking or running)",,Daily,Average walk,Moderate,1,0,0,0,0,0,0,0,,5.0,Year
grls09ZIN1OO,5,2019-12,Very active,Active indoor play,,More than daily,Run,Moderate,0,0,0,0,0,0,0,1,carpet and wood floors,5.0,Year
grls09ZIN1OO,5,2019-12,Very active,Other,active play with other dogs,More than daily,Run,Moderate,0,0,0,1,0,0,0,0,,5.0,Year
